468.7739044183981, 0.15, 0.0, P, 5, SYN1113, ???
593.4335461242462, 0.15, 0.0, P, 5, SYN1669, ???
501.15778913194436, 0.15, 0.0, P, 5, SYN1246, ???
535.4210038321321, 0.15, 0.0, P, 5, SYN1404, ???
511.07917230947436, 0.15, 0.0, P, 5, SYN1291, ???
576.13231421288, 0.15, 0.0, P, 5, SYN1593, ???
499.4126970536799, 0.15, 0.0, P, 5, SYN1256, ???
584.7277750918748, 0.15, 0.0, P, 5, SYN1622, ???
552.5167420527358, 0.15, 0.0, P, 5, SYN1464, ???
545.8356902221161, 0.15, 0.0, P, 5, SYN1446, ???
567.0925778451395, 0.15, 0.0, P, 5, SYN1529, ???
495.127892365804, 0.15, 0.0, P, 5, SYN1240, ???
603.5805813099996, 0.15, 0.0, P, 5, SYN1723, ???
535.4075438335262, 0.15, 0.0, P, 5, SYN1405, ???
457.831838864893, 0.15, 0.0, P, 5, SYN1086, ???
509.9503910047555, 0.15, 0.0, P, 5, SYN1300, ???
544.7259853707553, 0.15, 0.0, P, 5, SYN1451, ???
526.4083252143473, 0.15, 0.0, P, 5, SYN1357, ???
532.6283446141898, 0.15, 0.0, P, 5, SYN1376, ???
485.0262936031449, 0.15, 0.0, P, 5, SYN1197, ???
461.22195440615565, 0.15, 0.0, P, 5, SYN1100, ???
494.47177097411634, 0.15, 0.0, P, 5, SYN1238, ???
557.2812154404903, 0.15, 0.0, P, 5, SYN1486, ???
438.65893243854515, 0.15, 0.0, P, 5, SYN1010, ???
564.6761897186822, 0.15, 0.0, P, 5, SYN1542, ???
445.6842801275961, 0.15, 0.0, P, 5, SYN1040, ???
455.7115961776708, 0.15, 0.0, P, 5, SYN1074, ???
566.9362840818546, 0.15, 0.0, P, 5, SYN1550, ???
